ID,SampleWeight,phosphoricacid,glycericacid,Lserine,Lalanine,Lthreonine,Betaalanine,Dmalicacid,asparticacid,Lglutamicacid,transaconiticacid,glycerol1phosphate,shikimicacid,citricacid,quinicacid,fructose,Dglucose,tyrosine,galactonicacid,mucicacid,myoinositol,caffeicacid,Dglucose6phosphate,Sucrose,loganin,chlorogenicacid,Raffinose
YING-55,18.4,1.204286556,0.009333452,0.013688845,0.003190141,0.007372299,0.002588721,0.20064388,0.074025336,0.004643029,0.14757622,0.005929218,0.074486207,0.005932486,0.09476943,0.30707726,0.18014493,0.01307435,0.001348292,0.021446837,0.20043632,8.47E-04,0.001665345,0.07868092,1.80E-03,0.010699721,9.45E-04
Yong_28,30.3,0.41297048,0.014193546,0.015552858,0.003928938,0.002070749,0.001510778,0.11363294,0.10535451,0.001823905,0.10046233,1.70E-03,0.026211205,0.0128839,0.072629358,0.072745923,0.52839532,0.002557581,0.001565633,2.14E-02,0.16690787,0.0101389,0.005656848,1.2015088,0.006118538,0.006616798,1.64E-03
Yu796_NS,24.6,0.07911343,0.007479327,0.003024816,0.001804663,0.002092407,0.004319161,0.03789793,0.17872081,0.033516607,0.243588815,1.61E-02,0.00353714,0.013337464,0.020912037,0.016032428,0.02400503,0.004048461,0.000839168,0.003802827,0.34245891,0.004932746,0.003889049,0.07179079,0.008941104,0.040472581,3.32E-03
ZS635,29,0.06123262,0.014929025,0.010553333,0.002931251,0.004282884,0.003283408,0.0847844,0.084102481,0.015954963,0.55378294,1.64E-02,0.028292681,0.01603028,0.108863411,1.020443848,1.10370563,0.018171722,0.001834068,4.50E-03,0.79840971,0.001984701,0.004325631,24.48797526,0.01081306,0.144759025,8.86E-03
904,10.6,0.18615047,0.011419867,0.00244563,0.003200016,0.002515029,0.001855601,0.01419816,0.077822762,0.007575758,0.11223095,2.00E-03,0.035192512,0.014285057,0.083491801,0.052036049,0.06090255,0.007874801,0.001119495,1.16E-02,0.12393162,0.006093322,0.003294586,0.08115541,0.003304809,0.007353392,3.72E-03
52220,21.2,0.052224831,0.001964367,1.18E-02,0.001396832,0.002091773,1.41E-03,0.054233211,0.062938508,8.98E-03,0.30921518,2.54E-03,0.012351422,0.013201566,0.03659792,0.008892931,0.014591449,0.004229875,0.00153582,0.004785828,0.50592878,3.42E-03,0.001501073,0.26973418,1.37E-02,1.72E-02,0.000532788
4554_INBRED,28.3,0.04207531,0.007426343,0.017906237,0.003286244,0.008525407,0.003443879,0.20121624,0.07902531,0.015964886,0.40408264,8.58E-03,0.007717529,0.015474467,0.023555432,1.577073268,1.36500432,0.010550574,0.002585646,6.89E-03,0.55794781,0.00305855,0.007365041,13.66136525,0.101899848,0.048010695,1.10E-02
4578_INBRED,23.8,0.05147943,0.005440339,0.001139094,0.002389345,0.001923545,0.004099045,0.10600985,0.06402429,0.024445001,0.295134322,1.24E-02,0.011039473,0.019289436,0.025529046,0.014378416,0.08791456,0.003650183,0.000527202,0.00212151,0.29927156,0.007155332,0.003032997,0.54026479,0.069867966,0.029153821,9.57E-03
80-2,23.8,0.02655316,0.004563914,0.015273411,0.00186294,0.013845863,0.008985266,0.10978246,0.08916104,0.06097998,0.183454106,2.12E-04,0.018301893,0.018642886,0.075821851,0.541601165,0.56686163,0.010582347,0.001269573,0.000728223,0.28791382,0.003115175,0.002215492,0.19951691,0.000556763,0.057067228,2.97E-03
A12,28.5,0.10391463,0.007951511,0.062900632,0.008307267,0.004458296,0.003493215,0.07142357,0.118860145,0.007300555,0.33948198,1.06E-03,0.027885167,0.020387811,0.057129016,0.7721822,0.69056283,0.007334616,0.00205884,1.59E-02,0.16313655,0.00164253,0.005680732,1.92076751,0.00045794,0.025864173,8.70E-03
A15,28.3,0.294946708,0.013396767,0.06080754,0.014250777,0.008989572,0.000908177,0.29830512,0.094374372,0.018494316,0.204754792,0.004868199,0.011800542,0.012061009,0.03546271,0.883940014,0.68106496,0.003231636,0.008041057,0.005472114,0.53273126,1.94E-03,0.005995353,13.54970542,3.41E-03,0.046314736,3.99E-03
A155,26.2,0.06038467,0.006378652,0.006227165,0.006227165,0.005599154,0.001944334,0.18101577,0.10624567,0.014656045,0.27311254,0.005071154,0.023799712,0.014681048,0.17216184,0.013711823,0.06807524,0.002303198,0.001223666,0.008542129,0.383281,2.45E-03,0.001842853,0.09468857,0.001061883,0.013310307,0.00799795
A344,30.5,0.076041034,0.009596105,1.14E-02,0.028569973,0.005735101,4.95E-03,0.029093992,0.139145339,6.40E-04,0.19506086,2.21E-02,0.06100095,0.022834872,0.16525897,0.538167897,0.768725505,0.017769351,0.001804956,0.001139014,1.05862831,1.77E-02,0.001066234,0.09551819,6.95E-04,1.29E-02,0.004446887
